"Aircraft: Airline/Operator","Aircraft: Make/Model","Aircraft: Type","Airport: Name","Altitude bin","Conditions: Precipitation","Conditions: Sky","Effect: Impact to flight","Effect: Indicated Damage","Effect: Other","FlightDate","Number of human fatalities","Number of people injured","Origin State","Remarks","When: Phase of flight","When: Time of day","Wildlife: Number struck","Wildlife: Size","Wildlife: Species","Aircraft: Flight Number","Aircraft: Number of engines?","Cost: Other (inflation adj)","Cost: Repair (inflation adj)","Cost: Total $","Feet above ground","Miles from airport","Number of Records","Record ID","Speed (IAS) in knots"
"UNITED AIRLINES","B-737-300","Airplane","DENVER INTL AIRPORT","< 1000 ft",,,,"No damage",,1/16/2001 0:00,,,"Colorado","BIRD HIT NOSE OR GEAR. INSPCTD, CLEANED.","Take-off run",,1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"208,260",
"UNITED AIRLINES","B-767-300","Airplane","DENVER INTL AIRPORT","< 1000 ft",,,,"No damage",,1/15/2001 0:00,,,"Colorado","MECH FOUND BIRDSTRIKE ON SIDE OF FUSELAGE. PILOT REPTD BIRD HIT NOSE ON LDG.","Landing Roll",,1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"209,666",
"UNITED AIRLINES","B-767-200","Airplane","SAN FRANCISCO INTL ARPT","< 1000 ft",,,,"No damage",,1/15/2001 0:00,,,"California","FLEW THRU A FLOCK ON FINAL. HEARD THUMP ON UNDERSIDE. FOUND A FEW FEATHERS ON NOSE GEAR DOOR. NO DMG. (# BIRDS NOT REPTD, ASSUME 2-10)","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,100,,1,"206,513",
"UNITED AIRLINES","B-747-400","Airplane","UNKNOWN","Unknown",,,,"No damage",,1/14/2001 0:00,,,"N/A","FOUND SML BIRD STRIKE AROUND 6 OCLCOK POSITION AT #1 ENG DURING WALK AROUND. INSPN. NO DMG FOUND.",,,1,"Medium","Unknown bird - medium",,4,0,0,0,,,1,"208,063",
"UNITED AIRLINES","B-727-200","Airplane","UNKNOWN","Unknown",,,,"No damage",,1/14/2001 0:00,,,"N/A","INSPN. NO OBVIOUS DMG.",,,1,"Medium","Unknown bird - medium",,3,0,0,0,,,1,"212,694",
"UNITED AIRLINES","B-737-500","Airplane","LOS ANGELES INTL","Unknown",,,,"No damage",,1/14/2001 0:00,,,"California","CORE INGESTION. INSPN AND CLEANED. BORESCOPED. NO DMG.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"209,408",
"UNITED AIRLINES","A-320","Airplane","SIMON BOLIVAR INTL","Unknown",,,,"No damage",,1/13/2001 0:00,,,"N/A","BIRD HIT CP WINDSCREEN ON SHORT FINAL. INSPCTD & CLEANED.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"208,254",
"UNITED AIRLINES","B-757-200","Airplane","UNKNOWN","Unknown",,,,"No damage",,1/13/2001 0:00,,,"N/A","#2 ENG HAD A BIRD STRIKE. SML BIRD WENT THRU FAN AT 5 OCLOCK POSITION. NO EVIDENCE IT WENT THRU CORE. INGESTION. NO DMG TO REST OF ENG.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"208,487",
"UNITED AIRLINES","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,1/13/2001 0:00,,,"N/A","FOUND STRIKE ON WALK AROUND. SOME BIRD ACTIVITY HIGHER ON FINAL APCH TO RWY 27R BUT WE DID NOT KNOW WE HAD HIT THE BIRD. INSPN & CLEAN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"209,457",
"UNITED AIRLINES","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,1/13/2001 0:00,,,"N/A","BIRD STRIKE REPTD ON #2 ENG. INSPCTD.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"206,369",
"UNITED AIRLINES","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,1/13/2001 0:00,,,"N/A","BIRD HIT LE SLAT. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"208,554",
"UNITED AIRLINES","B-737-300","Airplane","SAN FRANCISCO INTL ARPT","< 1000 ft",,,,"No damage",,1/13/2001 0:00,,,"California","ON T/D, STRUCK AT LEAST 1 BIRD ON CAPT FWD EYEBROW WINDOW. CLEANED.","Landing Roll",,1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"209,260",
"UNITED AIRLINES","B-727-200","Airplane","DENVER INTL AIRPORT","Unknown",,,,"No damage",,1/11/2001 0:00,,,"Colorado","BIRD APPEARED TO HIT L SIDE. ON FINAL APCH. INSPN. NO DMG.","Approach",,1,"Medium","Unknown bird - medium",,3,0,0,0,,,1,"207,097",
"UNITED AIRLINES","B-737-500","Airplane","UNKNOWN","Unknown",,,,"Caused damage",,1/11/2001 0:00,,,"N/A","MAJOR DENT IN RH HORIZ STAB. OKAY TO DEFER FOR 1 TIME FERRY FROM RIC TO IND FOR REPAIR. REMOVED LEADING EDGE, REPAIRED.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"205,330",
"UNITED AIRLINES","B-737-300","Airplane","THEODORE FRANCIS GREEN STATE","Unknown",,,,"No damage",,1/8/2001 0:00,,,"Rhode Island","CREW REPTD BIRD STRIKE ON FINAL. HIT RHS RADOME. INSPN.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"212,852",
"UNITED AIRLINES","B-757-200","Airplane","UNKNOWN","Unknown",,,,"Caused damage",,1/8/2001 0:00,,,"N/A","7"" SECTION OF RADOME SEAL DETACHED. FOUND DURING BIRD STRIKE INSPN. TAPED. NO TIME TO WORK DUE TO REROUTING OF A/C. #2 ENG FAN BLADES NICKED AND BLENDED",,,"2 to 10","Medium","Unknown bird - medium",,2,0,0,0,,,1,"210,623",
"UNITED AIRLINES","B-727-200","Airplane","ORLANDO INTL","< 1000 ft",,,,"No damage",,1/6/2001 0:00,,,"Florida","AT ROTATION HIT ABOUT 5 BIRDS. FOUND SML SPOT ON RADOME. INSPN. CLEANED. CHECKED FLAP AND ALL INLETS","Take-off run",,"2 to 10","Small","Unknown bird - small",,3,0,0,0,0,0,1,"205,418",
"UNITED AIRLINES","B-757-200","Airplane","UNKNOWN","Unknown",,,,"Caused damage",,1/6/2001 0:00,,,"N/A","#1 ENG FAN BLADE # 29 HAD DENT ON TE AT TIP. LH WING #3 LE SLAT HAS A STRIKE ON TE WEDGE. ALSO DENTED 2.5"" BY 1.9"" AT POINT OF IMPACT. DID TAP TEST. NO DISBONDING.",,,"2 to 10","Medium","Unknown bird - medium",,2,0,0,0,,,1,"208,267",
"UNITED AIRLINES","B-777-200","Airplane","UNKNOWN","Unknown",,,,"No damage",,1/5/2001 0:00,,,"N/A","INSPN FOUND TO BE WITHIN LIMITS. HIT ABOVE F/O WINDSHLD.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"206,310",
"UNITED AIRLINES","B-767-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,1/5/2001 0:00,,,"N/A","BIRD HIT JUST BELOW F/O WIPER. INSPN. CLEANED.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"206,204",
"UNITED AIRLINES","A-320","Airplane","WASHINGTON DULLES INTL ARPT","< 1000 ft",,,,"No damage",,1/5/2001 0:00,,,"DC","POSSIBLE BIRD STRIKE ON LWR RT RADOME. INSPN. NO DMG.","Take-off run",,1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"206,506",160
"UNITED AIRLINES","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,1/4/2001 0:00,,,"N/A","BIRDSTRIKE FOUND ON LH NOSE STEERING PULLEY ON NOSE GEAR. CLEANED.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"202,831",
"UNITED AIRLINES","B-727-200","Airplane","CHICAGO O'HARE INTL ARPT","Unknown",,,,"No damage",,1/3/2001 0:00,,,"Illinois","BIRD HIT UNDER FUSELAGE JUST AFT OF NOSE GEAR. INSPN.","Approach",,1,"Medium","Unknown bird - medium",,3,0,0,0,,6,1,"203,107",
"UNITED AIRLINES","A-320","Airplane","SACRAMENTO INTL","Unknown","None","No Cloud","None","Caused damage",,1/1/2001 0:00,,,"California","5 MI OUT, BIRD HIT EDGE OF #1 ENG COWLING 1/2 BIRD INGESTED, 1/2 STRUCK WING AND FLAPS AT 2 DEGREES. FLAP HAS SOME DELAMINATION. DAMAGE TO LE OF FLAP IS ABOUT 14"" WIDE AND 8/5"" LONG. ABOUT 6.5"" PUNCTURE. REPAIRED FLAP. #1 ENG INLET  HAD DMG ABOUT 14.5"" LO","Approach","Night","2 to 10","Medium","Northern pintail","1,041",2,0,"13,016","13,016",,,1,"205,787",
"UNITED AIRLINES","B-777-200","Airplane","DENVER INTL AIRPORT","< 1000 ft",,,,"No damage",,12/31/2000 0:00,,,"Colorado","CREW REPTD HITTING 1 OR MORE BIRDS ON LDG. INSPN.","Landing Roll",,1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"206,408",
"UNITED AIRLINES","B-777-200","Airplane","SEATTLE-TACOMA INTL","< 1000 ft",,,,"No damage",,12/31/2000 0:00,,,"Washington","LOUD BANG HEARD LHS. SUSPECT BIRD STRIKE. INSPN.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,500,,1,"206,546",
"UNITED AIRLINES","B-777-200","Airplane","JOSE MARTI INTL","Unknown",,,,"No damage",,12/30/2000 0:00,,,"N/A","INSPN","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"206,545",
"UNITED AIRLINES","B-737-500","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/30/2000 0:00,,,"N/A","NOSE GEAR DOOR HAS EVIDENCE OF BIRD STRIKE. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"207,439",
"UNITED AIRLINES","A-320","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/30/2000 0:00,,,"N/A","BIRD HIT LWR RHS RADOME INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"205,611",
"UNITED AIRLINES","B-747-1/200","Airplane","UNKNOWN","Unknown",,,,"Caused damage",,12/30/2000 0:00,,,"N/A","CUT OUT DMG TO LE SLAT. POTTED NEW CORE, APPLIED OVERLAYS. CURE SHOULD BE DONE BY 0030 DEC 21.  NEEDS 2 HOLES DRILLED, 3 FASTENERS INSTALLED AND CONDUCTIVE COATING, PRIMER AND PAINT.",,,1,"Medium","Unknown bird - medium",,4,0,0,0,,,1,"206,906",
"UNITED AIRLINES","B-737-300","Airplane","DENVER INTL AIRPORT","Unknown",,,,"No damage",,12/28/2000 0:00,,,"Colorado","WENT THRU A SML FLOCK OF SML BIRDS 1/2 MI FINAL. I HIT L DOOR OF NOSE WHEEL WELL. LOGBOOK ENTRY. INSPN.","Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,,,1,"208,716",
"UNITED AIRLINES","B-737-500","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/27/2000 0:00,,,"N/A","INGESTION. FOUND BY MAINT. MAJOR CLEANING OF ENG REQD. NO DMG. BIRD ID BY SMITHSONIAN.  EVIDENCE BIRD ENTERED COMPRESSOR. AVM DOWNLOADED.",,,1,"Medium","Northern pintail",,2,0,0,0,,,1,"207,225",
"UNITED AIRLINES","A-320","Airplane","PHILADELPHIA INTL","< 1000 ft","None","No Cloud",,"Caused damage",,12/25/2000 0:00,,,"Pennsylvania","6"" CRACK IN L OTBD FLAP LE. CLEAND F/O WINDSHLD AND FLAP AREA. FLAP WAS REPLACED. FERRIED FOR REPAIR.","Approach","Night","2 to 10",,"Gulls",,2,0,0,0,600,,1,"207,501",130
"UNITED AIRLINES","A-320","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/24/2000 0:00,,,"N/A","BIRD HIT #2 NOSE COWL. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"205,584",
"UNITED AIRLINES","B-737-300","Airplane","ONTARIO INTL ARPT","< 1000 ft",,,,"No damage",,12/24/2000 0:00,,,"California","BIRD HIT NEAR NOSE GEAR. INSPN.","Take-off run",,1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"206,583",
"UNITED AIRLINES","B-737-500","Airplane","NEW ORLEANS INTL","< 1000 ft",,,,"No damage",,12/24/2000 0:00,,,"Louisiana","4 BIRDS SEEN. HIT 1 JUST ABOVE F/O EYEBROW WINDOW. INSPN","Landing Roll",,1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"202,413",
"UNITED AIRLINES","B-737-300","Airplane","GEORGE BUSH INTERCONTINENTAL","> 1000 ft",,,,"No damage",,12/23/2000 0:00,,,"Texas","#1 ENG COWLING WAS HIT. FOUND SML AMT OF BLOOD AND FEATHERS IN FAN AREA.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,"6,000",,1,"206,293",250
"UNITED AIRLINES","B-737-300","Airplane","DENVER INTL AIRPORT","< 1000 ft",,,,"No damage",,12/23/2000 0:00,,,"Colorado","SUSPECT BIRD STRIKE ABOVE CAPT EYEBROW WINDOW. NOTIFIED TWR. INSPN.","Take-off run",,1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"207,011",150
"UNITED AIRLINES","B-757-200","Airplane","LOGAN INTL","Unknown",,,,"No damage",,12/21/2000 0:00,,,"Massachusetts","BIRD STRIKE ON FINAL. INSPN.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"205,555",
"UNITED AIRLINES","B-737-500","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/21/2000 0:00,,,"N/A","INGESTION. BIRD EXITED COLD SIDE OF FAN. CLEANED REMAINS. BIRD STRIKE FOUND ON PREFLT INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"203,069",
"UNITED AIRLINES","B-757-200","Airplane","UNKNOWN","Unknown",,,,"Caused damage",,12/21/2000 0:00,,,"N/A","AIRFRAME INSPN NEEDED DUE TO BIRD STRIKE. #1 ENG CORE INLET HAS STAINING. INGESTION. DAMAGE FOUND OUTSIDE #1 ENG. CLEANED. TORNA ND DAMAGED FAN BLADES FOUND BY CREW ON WALKAROUND. REPLACED BLADES 32-34 AND 14-16.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"208,230",
"UNITED AIRLINES","A-320","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/20/2000 0:00,,,"N/A","DEICING CREW NOTICED BIRD FEATHERS AND MEAT IN INTAKE. FOUND LRG CHUNK OF GOOSE STILL ON FAN CORE BLADES AND INTAKE. INGESTION. BORESCOPED AND CLEANED. NO DMG NOTED.",,,1,,"Geese",,2,0,0,0,,,1,"206,564",
"UNITED AIRLINES","A-319","Airplane","LAGUARDIA NY","< 1000 ft","None","Some Cloud","None","No damage",,12/20/2000 0:00,,,"New York","3 SEEN, 1 HIT. F/O WINDSCREEN.  NOTIFIED TWR","Landing Roll","Day",1,,"Sparrows",,2,0,0,0,0,0,1,"208,866",129
"UNITED AIRLINES","B-737-300","Airplane","SAN FRANCISCO INTL ARPT","< 1000 ft",,,,"Caused damage",,12/20/2000 0:00,,,"California","SAW 8-10 GULLS. HIT 1. DENTED IN FLAP ABOUT 8"" IN DIAMETER. REPLACED 2 SLATS.","Approach",,1,,"Gulls",,2,0,0,0,800,,1,"208,903",
"UNITED AIRLINES","B-727-200","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/16/2000 0:00,,,"N/A","INSPN AND CLEANED #6 LE FLAP.",,,1,"Medium","Unknown bird - medium",,3,0,0,0,,,1,"210,628",
"UNITED AIRLINES","B-737-300","Airplane","ONTARIO INTL ARPT","Unknown",,,,"No damage",,12/16/2000 0:00,,,"California","FINAL APCH. BIRD HIT INBD FLAP. INSPN.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"205,806",
"UNITED AIRLINES","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/16/2000 0:00,,,"N/A","CLEANED FEATHERRS FROM L MAIN GEAR.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"205,048",
"UNITED AIRLINES","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/16/2000 0:00,,,"N/A","BIRD HIT CAPT WINDSCREEN. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"202,291",
"UNITED AIRLINES","B-777-200","Airplane","SAN FRANCISCO INTL ARPT","< 1000 ft",,,,"No damage",,12/16/2000 0:00,,,"California","LWR RT FUSELAGE STRUCK. INSPN. NO SIGN OF STRIKE.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,500,,1,"205,047",
"UNITED AIRLINES","B-757-200","Airplane","DENVER INTL AIRPORT","Unknown",,,,"No damage",,12/15/2000 0:00,,,"Colorado","BIRD HIT F/O WINDSCREEN.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,,4,1,"204,173",
"UNITED AIRLINES","B-757-200","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/14/2000 0:00,,,"N/A","BIRD RESIDUAL ON RHS OF NOSE LDG GEAR DOOR. CLEANED.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"202,828",
"UNITED AIRLINES","A-319","Airplane","RONALD REAGAN WASHINGTON NATL","Unknown",,,"None","No damage",,12/12/2000 0:00,,,"DC","ON SHORT FINAL. 2 HIT BELOW WINDSCREEN. WE FELT THE THUMPS. 3RD MAY HAVE HIT IN ANOTHER LOCATION. FOUND 3 BIRD STRIKES. CLEANED AND CHECKED FOR DMG. ASSUME RBGU. RBGU  COMPRISED EQUAL TO OR GREATER THAN 95% OF GULLS OBSERVED ON ARPT DURING MONTH OF STRIKE","Approach",,"2 to 10","Medium","Ring-billed gull",,2,0,0,0,,,1,"209,069",
"UNITED AIRLINES","B-737-500","Airplane","DENVER INTL AIRPORT","< 1000 ft",,,,"No damage",,12/12/2000 0:00,,,"Colorado","BIRD HIT UNDERNEATH COCKPIT.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,800,,1,"206,558",150
"UNITED AIRLINES","A-319","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/11/2000 0:00,,,"N/A","BIRD HIT RT WING LE INBD OF #2 ENG. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"209,036",
"UNITED AIRLINES","B-737-500","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/10/2000 0:00,,,"N/A","FOUND BIRD STRIKE ON #1 ENG L COWLING. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"209,123",
"UNITED AIRLINES","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/10/2000 0:00,,,"N/A","LH MID FLAP OTBD SIDE HAVE EVIDENCE OF BIRD STRIKE. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"209,548",
"UNITED AIRLINES","B-737-200","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/10/2000 0:00,,,"N/A","CREW FOUND BIRD STRIKE OTBD OF #2 ENG. INSPN",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"201,401",
"UNITED AIRLINES","B-737-500","Airplane","LOS ANGELES INTL","Unknown",,,,"Caused damage",,12/10/2000 0:00,,,"California","ENG MANU REPTD NO ENG DMG BUT AIRLINE SAID ENG WAS REMOVED BECAUSE DAMAGE TO 5 STG HPC.. ENG SN 725234","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"205,565",
"UNITED AIRLINES","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/9/2000 0:00,,,"N/A","BIRD HIT AFT OF F/O SIDE WINDOWS AND CLOSE TO FUSEELAGE. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"207,792",
"UNITED AIRLINES","B-737-300","Airplane","AUSTIN-BERGSTROM INTL","< 1000 ft",,,"None","No damage",,12/9/2000 0:00,,,"Texas","BIRD STRIKE ON T/O ROLL AT V1 ON FO WINDOW R1. ALL SYSTEM NORMAL. CONTD TO SFO. NO DMGG FOUND ON INSPN. POSSIBILITY OF MORE STRIKES.","Take-off run","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"208,810",
"UNITED AIRLINES","B-737-300","Airplane","DENVER INTL AIRPORT","< 1000 ft",,,,"Caused damage",,12/8/2000 0:00,,,"Colorado","BIRD STRIKE ON ARRIVAL. DEBRIS INGESTED INTO CORE SECTION BACK TO 2ND & 3RD STAGE. DENTED COWL. MANY FEATHERS AND PARTS BEHIND FAN AND AT 7:00 POSITION ON CORE. RESUFED A/C FOR FURTHER FLT. REPLACED INLET COWL. BIRD STRIKE INSPN BOROSCOPED. NO DEFECTS NOT","Landing Roll",,1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"200,388",
"UNITED AIRLINES","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/6/2000 0:00,,,"N/A","BIRD HIT R3 WINDOW. AND ABOVE #2 ENG AT LEADING EDGE. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"202,306",
"UNITED AIRLINES","B-737-500","Airplane","SACRAMENTO INTL","< 1000 ft",,,"None","Caused damage",,12/6/2000 0:00,,,"California","FLT 2510. HIT 2 DUCKS DURING FINAL. HIT LH INBD TE FLAP. ONE JUST OTBD HAS DENT. CLEANED. REPLACED TE INBD AFT FLAP.","Approach",,"2 to 10",,"Ducks",,2,0,0,0,500,,1,"206,118",
"UNITED AIRLINES","B-737-300","Airplane","DENVER INTL AIRPORT","Unknown",,,,"No damage",,12/5/2000 0:00,,,"Colorado","HEARD BIRD HIT ON SHORT FINAL. FOUND ON LWR R RADOME. INSPN.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"208,501",
"UNITED AIRLINES","A-320","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/5/2000 0:00,,,"N/A","FOUND REMAINS ON RT GEAR. CLEANED.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"208,502",
"UNITED AIRLINES","A-320","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/5/2000 0:00,,,"N/A","EVIDENCE OF BIRD STRIKE, L SIDE RADOME. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"207,438",
"UNITED AIRLINES","A-320","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/5/2000 0:00,,,"N/A","BIRD HIT UPPER RT CORNER OF CAPT WINDSCREEN. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"209,015",
"UNITED AIRLINES","A-320","Airplane","JUAN SANTAMARIA INTL","Unknown",,,,"No damage",,12/3/2000 0:00,,,"N/A","BIRD HIT UNDER BELLY AFT OFE & E INDLM LINK. INSPN.","Climb",,1,"Small","Unknown bird - small",,2,0,0,0,,,1,"206,128",
"UNITED AIRLINES","B-767-300","Airplane","DENVER INTL AIRPORT","Unknown",,,,"No damage",,12/3/2000 0:00,,,"Colorado","BIRD HIT ABOVE COCKPIT JUST PRIOR TO LDG.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"205,732",
"UNITED AIRLINES","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/3/2000 0:00,,,"N/A","CREW REPTS BIRDSTRKE ON L SIDE. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"205,178",
"UNITED AIRLINES","B-737-300","Airplane","PORTLAND INTL (OR)","< 1000 ft",,,,"No damage",,12/3/2000 0:00,,,"Oregon","INSPN.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,500,,1,"202,822",
"UNITED AIRLINES","A-320","Airplane","NEWARK LIBERTY INTL ARPT","< 1000 ft",,,,"No damage",,12/2/2000 0:00,,,"New Jersey","BIRD HIT LHS 4 FT BELOW STANDBY STATIC PORT.","Landing Roll",,1,,"Gulls",,2,0,0,0,0,0,1,"208,858",
"UNITED AIRLINES","B-757-200","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/1/2000 0:00,,,"N/A","PILOT REPTD MULTIPLE BIRD STRIKES ON NOSE. MECH FOUND 6 ON LH INBD & OTBD FLAPS. INSPN. CLEANED.",,,"2 to 10","Medium","Unknown bird - medium",,2,0,0,0,,,1,"210,949",
"UNITED AIRLINES","B-737-500","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/1/2000 0:00,,,"N/A","BIRD HIT LH FWD FUSELAGE. INSPN.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"203,245",
"UNITED AIRLINES","A-320","Airplane","UNKNOWN","Unknown",,,,"No damage",,12/1/2000 0:00,,,"N/A","EVIDENCE OF BIRD LH ENG. RH FWD WING TO BODY FAIRING. INSPN. NO CORE INGESTION NOTED. CLEANED.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"200,484",
"UNITED AIRLINES","B-727-200","Airplane","CHICAGO O'HARE INTL ARPT","< 1000 ft",,,,"No damage",,12/1/2000 0:00,,,"Illinois","BIRD HIT LWR PART OF RADOME. INSPN.","Take-off run",,1,"Medium","Unknown bird - medium",,3,0,0,0,0,0,1,"210,300",
"UNITED AIRLINES","B-737-300","Airplane","SALT LAKE CITY INTL","Unknown",,,,"No damage",,11/30/2000 0:00,,,"Utah","BIRDHIT CAPTS L1 WINDOW ON SHORT FINAL. CLEANED.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"203,885",
"UNITED AIRLINES","A-320","Airplane","LOGAN INTL","Unknown",,,,"No damage",,11/28/2000 0:00,,,"Massachusetts","POSSIBLE BIRD STRIKE ON TAIL, WINGS DURING APCH & LDG. INSPN.","Approach",,"2 to 10","Medium","Unknown bird - medium",,2,0,0,0,,,1,"209,142",
"UNITED AIRLINES","B-767-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,11/28/2000 0:00,,,"N/A","BIRD HIT LT SIDE OF NOSE STRUT. CLEANED.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"209,063",
"UNITED AIRLINES","B-727-200","Airplane","UNKNOWN","Unknown",,,,"No damage",,11/27/2000 0:00,,,"N/A","BIRD HIT F/O WINDOW. CLEANED & INSPCTD.",,,1,"Medium","Unknown bird - medium",,3,0,0,0,,,1,"206,424",
"UNITED AIRLINES","A-320","Airplane","UNKNOWN","Unknown",,,,"No damage",,11/27/2000 0:00,,,"N/A","FOUND EVIDENCE OF IRD STRIKE ON WALK AROUND.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"206,708",
"UNITED AIRLINES","B-777-200","Airplane","DON MUEANG INTL ARPT  (OLD BANGKOK)","> 1000 ft",,,,"No damage",,11/26/2000 0:00,,,"N/A","BIRD HIT BELOW F/O SLIDING WINDOW. INSPN.","Approach",,1,"Medium","Unknown bird - medium",,2,0,0,0,"7,000",,1,"206,872",
"UNITED AIRLINES","B-737-500","Airplane","SAN FRANCISCO INTL ARPT","< 1000 ft",,,"None","Caused damage",,11/26/2000 0:00,,,"California","6"" DENT IN NOSE COWL. COMPRESSOR BLADES DAMAGED. ENGINE REMOVAL. INGESTION. DOWNLOAD AVM.","Approach",,1,"Medium","Unknown bird - medium",,2,0,"1,095,821","1,095,821",300,,1,"210,943",135
"UNITED AIRLINES","B-737-500","Airplane","SAN FRANCISCO INTL ARPT","< 1000 ft",,,,"Caused damage",,11/26/2000 0:00,,,"California","RADOME WAS DELAMINATED 2' BY 6"" AT ITS WIDEST PART. RADOME GIVES WHEN PUSHED ON AND IS CRUNCHY SOUNDING. MADE INTERMIM REPAIR AND REPLACED AT NEXT VISIT.","Climb",,1,"Medium","Unknown bird - medium",,2,0,"10,958,209","10,958,209","1,000",,1,"209,661",
